국적별,2017년09월,2017년10월,2017년11월,2017년12월,2018년01월,2018년02월,2018년03월,2018년04월,2018년05월,2018년06월,2018년07월,2018년08월,2018년09월,2018년10월,2018년11월,2018년12월,2019년01월,2019년02월,2019년03월,2019년04월,2019년05월,2019년06월,2019년07월,2019년08월,2019년09월,2019년10월,2019년11월,2019년12월,2020년01월,2020년02월,2020년03월,2020년04월,2020년05월,2020년06월,2020년07월,2020년08월,2020년09월,2020년10월,2020년11월,2020년12월,2021년01월,2021년02월,2021년03월,2021년04월,2021년05월,2021년06월,2021년07월,2021년08월,2021년09월,2021년10월,2021년11월,2021년12월,2022년01월,2022년02월,2022년03월,2022년04월,2022년05월,2022년06월,2022년07월,2022년08월,2022년09월,2022년10월,2022년11월,2022년12월,2023년01월,2023년02월,2023년03월,계
터  키,"2,636","2,484","2,391","2,224","1,934","1,896","2,464","3,329","2,551","2,499","2,683","3,197","2,346","2,593","2,158","1,908","1,785","1,765","2,532","2,826","2,492","2,835","2,962","3,015","2,802","2,893","2,881","2,505","2,208","1,784",242,26,26,134,271,439,381,308,356,385,323,376,477,363,396,415,481,678,397,589,413,415,498,540,574,"1,392","2,020","1,594","1,582","1,938","1,737","2,151","2,138","1,887","1,685","1,607","2,177","105,989"
이스라엘,"1,289","1,777",950,737,809,713,"1,513","1,883","1,284",896,"1,186","1,205","1,955","1,774","1,229",881,805,761,"1,613","2,221","1,409",940,"1,320","1,110","1,837","2,820","1,427",839,803,352,68,21,4,13,5,36,13,36,59,35,19,18,37,93,89,104,108,119,45,183,134,90,110,93,107,241,445,444,475,481,"1,174","1,409",851,436,394,397,"1,546","48,270"
이  란,983,903,755,626,554,547,766,655,721,584,704,604,568,481,229,214,184,329,382,298,271,384,318,526,446,501,402,253,176,160,34,13,8,6,12,55,43,20,25,13,23,47,41,15,24,16,22,96,43,31,58,43,61,112,144,67,138,190,183,300,287,422,320,185,124,139,245,"18,129"
카자흐스탄,"3,674","4,376","3,976","3,544","3,942","4,687","5,475","4,797","4,638","4,551","4,444","4,585","4,327","4,768","3,538","3,107","3,574","3,774","4,915","4,618","4,585","4,829","4,953","4,948","4,909","4,776","3,697","3,388","4,325","3,204",567,15,26,331,401,329,258,233,299,252,452,737,643,627,571,518,711,868,904,564,352,265,245,450,418,829,"2,967","4,732","4,319","3,658","3,055","2,925","3,542","3,133","2,644","2,781","3,783","178,328"
요르단,271,404,245,152,174,180,229,261,214,166,256,203,252,310,281,167,183,205,244,293,154,324,255,242,274,340,277,193,180,168,45,7,15,13,42,67,47,54,35,44,35,50,55,37,46,45,75,98,93,88,65,46,71,96,91,33,78,166,123,163,215,220,164,97,92,163,131,"10,102"
사우디아라비아,"1,125",990,587,445,732,558,643,863,576,"1,386","1,828","1,957",819,873,632,686,518,542,693,"1,010",342,"2,933","2,140","2,603","1,009",830,879,659,"1,057",318,29,16,6,52,27,10,36,105,50,10,32,89,55,18,56,40,70,134,58,202,168,176,127,157,135,68,414,552,844,"1,185",940,"1,167","2,242",660,505,639,"1,382","42,689"
이라크,195,283,213,251,228,208,270,241,241,215,241,227,268,291,224,157,126,194,286,270,127,274,299,201,342,304,212,188,156,142,26,0,0,2,20,36,48,49,46,48,50,53,44,39,48,48,55,133,75,49,58,61,39,77,92,124,91,104,136,158,126,200,157,124,112,88,152,"9,642"
중 동 기타,"2,523","2,598","2,282","2,310","1,954","1,706","3,770","3,011","2,232","2,422","3,471","3,655","2,665","3,081","2,648","2,687","2,183","2,159","3,780","3,754","1,750","3,260","4,228","4,489","3,403","3,525","3,241","2,957","2,180","1,833",293,29,56,108,193,193,233,207,203,206,181,235,352,416,443,549,610,793,727,"1,030",832,550,603,756,749,984,"1,105","1,571","2,145","2,483","2,460","2,530","2,414","2,064","1,620","2,053","2,405","120,138"
미 주,"91,382","104,588","88,227","84,686","77,166","87,798","105,628","115,465","110,254","115,716","112,761","98,954","101,795","127,001","99,759","90,495","80,921","76,380","110,027","133,817","123,519","129,186","122,257","112,483","119,156","131,722","106,706","99,484","87,492","56,817","14,110","7,029","9,622","10,901","13,113","15,061","14,146","14,148","14,966","14,082","14,091","13,233","14,191","14,852","19,617","20,408","24,555","23,997","23,575","26,776","25,151","21,379","19,748","19,869","20,390","37,993","51,659","64,865","65,303","61,643","75,336","92,022","80,119","78,825","62,345","58,796","109,322","4,368,880"
미  국,"70,933","80,000","69,009","66,763","59,895","66,049","80,079","89,209","84,601","94,742","90,270","77,319","78,826","98,103","77,876","71,023","62,737","57,732","84,275","102,524","95,815","105,398","97,428","86,586","90,819","101,099","82,238","77,387","67,255","42,439","10,570","6,417","8,735","9,717","11,922","13,368","12,426","12,366","13,100","12,102","12,013","11,212","12,321","12,944","17,278","18,159","21,775","20,561","19,227","21,607","20,123","16,805","15,570","15,845","16,968","30,882","42,490","55,444","53,942","50,299","60,435","73,560","64,861","63,352","49,120","46,204","86,430","3,448,579"
캐나다,"13,851","17,397","13,179","13,080","12,417","16,438","18,833","18,569","18,651","14,521","15,002","14,686","15,667","20,187","15,205","14,083","12,460","13,551","18,670","21,361","19,439","16,133","16,103","16,700","18,213","20,624","16,862","15,292","13,809","9,046","2,405",422,695,927,848,"1,164","1,326","1,354","1,294","1,444","1,488","1,300","1,332","1,402","1,707","1,732","2,167","2,274","3,722","4,447","4,239","3,985","3,453","2,920","2,681","5,559","7,053","7,231","8,871","8,077","11,117","13,205","11,159","11,738","9,869","9,040","16,866","650,542"
브라질,"1,560","1,691","1,775","1,349","1,407","1,552","1,598","1,803","1,699","1,615","1,611","1,771","1,708","1,973","1,594","1,414","1,605","1,354","1,673","2,212","2,054","1,924","1,979","2,188","2,498","2,452","1,916","1,933","1,801","1,188",291,52,53,47,62,101,100,81,74,104,144,152,117,91,105,108,149,220,109,179,155,154,196,257,192,398,575,716,739,883,915,"1,426","1,138","1,174","1,109","1,027","1,599","67,889"
멕시코,"2,062","2,101","1,871","1,641","1,403","1,401","2,284","2,356","2,065","2,033","2,915","2,064","1,987","2,679","2,146","1,859","1,853","1,435","2,201","3,298","2,565","2,361","3,253","2,809","3,038","2,878","2,408","2,382","2,113","1,543",388,55,69,96,151,236,186,223,348,318,283,328,270,289,366,226,244,421,282,254,279,230,255,445,298,512,586,549,645,911,"1,078","1,298","1,105",994,800,850,"1,434","84,306"
칠  레,362,416,288,250,333,408,457,460,494,379,367,412,589,554,371,325,407,415,452,697,603,380,390,398,647,863,402,290,383,495,49,12,1,4,21,18,11,18,11,12,18,33,15,12,12,16,15,34,18,27,33,21,35,71,24,84,97,161,168,192,247,341,292,232,232,289,454,"16,617"
아르헨티나,366,488,331,341,426,322,399,587,451,341,437,337,437,544,313,238,354,252,401,614,452,354,360,400,645,612,374,335,422,357,71,11,13,10,7,15,13,18,19,13,20,25,26,16,22,25,59,27,26,38,45,25,22,26,28,84,112,119,151,167,216,349,187,230,253,209,471,"15,458"
콜롬비아,461,483,541,294,270,289,406,491,514,600,578,471,618,700,576,363,329,335,582,699,656,673,670,707,838,764,622,509,376,305,73,12,9,49,20,47,8,23,37,16,23,45,20,17,24,37,35,174,35,51,72,37,48,78,34,128,192,202,194,298,361,481,304,334,250,269,518,"20,275"
페  루,367,396,223,217,216,315,343,386,370,318,324,396,393,459,377,243,251,264,335,451,407,337,455,573,477,532,366,297,327,310,53,1,5,3,12,17,9,4,13,6,8,21,16,5,10,14,15,52,33,38,30,16,32,32,35,40,93,71,101,169,148,239,262,164,188,201,309,"13,190"
베네수엘라,154,184,138,123,170,151,165,185,168,136,173,158,188,157,156,154,150,138,173,181,164,178,172,180,163,192,164,127,158,186,35,17,9,9,17,13,10,9,17,20,24,33,16,16,16,27,26,35,22,23,33,30,24,34,30,45,37,39,55,66,71,105,67,88,75,79,94,"6,252"
에콰도르,167,178,133,92,85,145,147,204,174,137,162,295,240,273,241,126,122,174,265,190,196,162,255,288,393,224,182,177,117,167,39,2,7,5,6,20,18,1,11,7,15,19,7,1,9,9,11,40,10,16,45,13,15,35,9,31,77,46,54,99,123,157,121,68,72,107,152,"7,188"
쿠  바,21,24,7,6,7,7,21,20,20,8,12,29,28,15,4,16,6,9,12,32,24,35,64,18,34,14,57,10,10,14,5,0,0,0,0,1,0,1,1,0,1,2,3,3,2,1,5,4,2,0,4,3,2,3,1,0,4,6,21,8,9,14,10,8,3,3,8,722
미 주 기타,"1,078","1,230",732,530,537,721,896,"1,195","1,047",886,910,"1,016","1,114","1,357",900,651,647,721,988,"1,558","1,144","1,251","1,128","1,636","1,391","1,468","1,115",745,721,767,131,28,26,34,47,61,39,50,41,40,54,63,48,56,66,54,54,155,89,96,93,60,96,123,90,230,343,281,362,474,616,847,613,443,374,518,987,"37,862"
구 주,"80,485","88,730","75,920","63,049","66,538","80,204","85,892","97,322","86,474","81,207","88,304","86,208","84,212","102,375","80,055","64,829","70,038","61,549","87,805","112,581","97,754","87,723","94,521","104,736","102,751","114,725","87,560","73,513","73,181","55,245","13,086","4,135","6,749","7,120","8,339","11,147","8,279","9,158","9,418","9,054","9,298","11,336","9,987","9,356","10,297","10,637","11,199","16,873","13,607","15,553","16,630","12,557","13,654","17,012","13,140","21,662","27,884","30,561","38,782","49,373","47,106","56,930","47,821","42,162","39,937","43,348","74,781","3,333,454"
러시아(연방),"23,056","25,404","23,073","21,606","21,934","20,889","25,733","31,313","26,687","26,796","28,260","23,001","23,388","28,153","23,380","23,008","25,194","20,001","27,992","34,205","32,955","28,666","28,421","28,700","30,266","33,379","26,708","26,570","28,891","22,157","5,300","1,223","1,641","2,076","2,004","2,086","1,700","2,240","1,806","1,962","1,911","2,432","2,417","2,311","2,785","2,899","2,575","2,750","3,077","3,078","3,622","3,040","3,038","3,283","2,347","2,727","3,515","4,400","5,641","6,108","6,391","6,553","7,547","8,469","9,151","9,080","13,138","936,109"
독  일,"10,426","11,208","9,116","6,729","7,328","9,577","11,239","10,924","9,699","8,424","9,101","10,010","10,760","12,635","9,458","6,634","6,850","6,866","11,142","12,873","10,103","8,947","9,675","11,159","12,670","13,322","9,819","7,304","6,617","5,599","1,195","1,033","1,754",798,"1,082","1,580","1,084","1,143","1,132","1,111","1,129","1,476","1,069","1,171","1,297","1,246","1,479","2,797","1,810","2,360","2,382","1,822","1,718","2,384","1,802","3,483","4,712","5,000","6,093","8,706","9,006","9,208","7,173","5,822","5,320","6,197","12,087","406,875"
